timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-24 17:01:20,1,0,0,0,0,none,0,0
2023-10-24 17:02:10,0,1,0,0,0,none,0,0
2023-10-24 17:02:26,0,1,0,0,0,none,0,0
2023-10-24 17:02:42,0,1,0,0,0,none,0,0
2023-10-24 17:02:58,0,1,0,0,0,none,0,0
2023-10-24 17:03:15,0,1,0,0,0,none,0,0
2023-10-24 17:03:31,0,1,0,0,0,none,0,0
2023-10-24 17:03:57,0,0,1,0,0,none,0,0
2023-10-24 17:04:39,0,1,0,0,0,none,0,0
2023-10-24 17:04:59,0,1,0,0,0,none,0,0
2023-10-24 17:05:25,0,1,0,0,0,none,0,0
2023-10-24 17:05:41,0,1,0,0,0,none,0,0
2023-10-24 17:06:13,0,1,0,0,0,none,0,0
2023-10-24 17:06:33,0,1,0,0,0,none,0,0
2023-10-24 17:06:49,0,1,0,0,0,none,0,0
2023-10-24 17:06:51,0,0,1,0,0,none,0,0
2023-10-24 17:07:05,0,1,0,0,0,none,0,0
2023-10-24 17:07:21,0,1,0,0,0,none,0,0
2023-10-24 17:07:37,0,1,0,0,0,none,0,0
2023-10-24 17:08:01,0,1,0,0,0,none,0,0
2023-10-24 17:08:17,0,1,0,0,0,none,0,0
2023-10-24 17:08:21,0,0,1,0,0,none,0,0
2023-10-24 17:08:34,-1,0,0,0,0,none,0,0
